org_name,url,zone_primary,zone_secondary,status,status_rationale,description,org_type,function,geography,founding_year,source,date_identified,notes,schema_version,key_figures,key_outputs
Monash Centre for Consciousness and Contemplative Studies (M3CS),https://www.monash.edu/consciousness-contemplative-studies,consciousness-science,,included,Directed by Jakob Hohwy; strong theoretical reach via predictive processing and advisory committee including Metzinger.,"Interdisciplinary centre at Monash University directed by Jakob Hohwy, integrating consciousness research with contemplative science. Hohwy's predictive processing framework — closely related to Seth's and Friston's accounts — connects to AI consciousness debates by offering a computational theory of subjective experience that can, in principle, be evaluated in artificial systems. Advisory committee includes Thomas Metzinger, whose phenomenal self-model work is directly relevant to AI self-awareness questions.",university-centre,research,Australia,unknown,https://www.monash.edu/consciousness-contemplative-studies,2026-03-17,,1.0,Jakob Hohwy (Director)|https://research.monash.edu/en/persons/jakob-hohwy/,"Hohwy, J. (2013). The Predictive Mind. Oxford University Press|https://academic.oup.com/book/4105"
Active Inference Institute,https://www.activeinference.institute/,consciousness-science,,included,Growing bridge between Friston's theoretical neuroscience of consciousness and AI/robotics communities.,"US nonprofit dedicated to education and research on active inference and the free energy principle, founded 2021. Runs symposia, courses, and textbook groups that bridge theoretical consciousness science and AI, providing a community entry point for researchers interested in how Friston's mathematical framework applies to artificial agents and consciousness. Functions as a growing bridge between Friston's theoretical neuroscience and the AI/robotics communities exploring its implications.",nonprofit,research,USA,2021,https://www.activeinference.institute/,2026-03-17,,1.0,Daniel Friedman (President)|https://www.danielarifriedman.com/research.html,"Friedman, D. et al. (2022). Active Inference Institute: a participatory community for the study of active inference. Active Inference Institute|https://www.activeinference.institute/"
Association for the Scientific Study of Consciousness (ASSC),https://theassc.org/,consciousness-science,,included,Primary international professional body for consciousness research; organises annual conference spanning neuroscience,"The primary international professional society for consciousness research, established 1994. Runs the annual ASSC conference — the field's largest scientific gathering — which increasingly features dedicated AI consciousness sessions. Publishes Neuroscience of Consciousness (Oxford University Press). ASSC27 (Tokyo, 2024), hosted by Araya Inc, and ASSC28 reflect growing engagement with questions about artificial consciousness alongside the society's traditional neuroscience and philosophy focus.",nonprofit,community-onboarding,international,1994,https://theassc.org/,2026-03-17,,1.0,,
Graziano Lab (Princeton University),https://grazianolab.com/,consciousness-science,,included,Home of Attention Schema Theory (AST) — a major competing theory of consciousness with direct and explicit application to AI consciousness questions.,"Michael Graziano's lab at Princeton; develops Attention Schema Theory (AST), which proposes consciousness arises from the brain's internal model of its own attentional processes. AST is arguably the consciousness theory most readily applied to AI systems, since attention mechanisms are a core architectural feature of modern AI. AE Studio has directly funded Graziano's research to advance this application.",university-centre,research,USA,unknown,https://grazianolab.com/,2026-03-17,"Added following user flag 2026-03-17. AST is one of the four major competing theories (alongside IIT, GWT, RPT) represented in the corpus. AE Studio has funded Graziano's research.",1.0,Michael Graziano (PI)|https://grazianolab.princeton.edu/,"Graziano, M. S. A. (2013). Consciousness and the Social Brain. Oxford University Press|https://archive.org/details/consciousnesssoc0000graz; Graziano, M. S. A. (2019). Rethinking Consciousness: A Scientific Theory of Subjective Experience. W. W. Norton|https://grazianolab.princeton.edu/publications/rethinking-consciousness-scientific-theory-subjective-experience"
MIND Group / Open MIND Network,https://open-mind.net/,consciousness-science,,included,International early-career network with significant output in philosophy of consciousness; produced the landmark open-access Open MIND collection.,"International research network founded by Thomas Metzinger in 2003; brings together early-career philosophers and scientists working on consciousness and cognition. Produced the landmark Open MIND collection — 39 open-access target articles with commentaries. Metzinger's ""no-self"" theory and his concept of the phenomenal self-model have been applied to AI consciousness debates — particularly the question of whether AI systems could have self-models without genuine phenomenal experience.",community,research,international,2003,https://open-mind.net/,2026-03-17,,1.0,Thomas Metzinger (Founder)|https://thomasmetzinger.com/,"Metzinger, T. (2003). Being No One. MIT Press|https://direct.mit.edu/books/monograph/1991/Being-No-OneThe-Self-Model-Theory-of-Subjectivity; Metzinger, T. (ed.) (2015). Open MIND. MIND Group|https://open-mind.net/"
NYU Center for Mind Brain and Consciousness,https://wp.nyu.edu/consciousness/,philosophy-of-mind,,included,Co-directed by Chalmers and Block; the leading academic philosophy-of-mind centre with direct AI consciousness relevance; hosted Claude 4 model welfare assessment event (2025).,"Philosophy-of-mind research centre at NYU co-directed by David Chalmers and Ned Block — arguably the two most influential living philosophers of consciousness. Hosts events directly addressing AI consciousness and welfare, including a 2025 assessment of Anthropic's Claude 4. Part of the broader NYU moral-circle-expansion cluster alongside CMEP (Sebo), CEAP, and the Wild Animal Welfare Program.",university-centre,research,USA,unknown,https://wp.nyu.edu/consciousness/,2026-03-17,,1.0,David Chalmers (Co-Director)|https://consc.net/; Ned Block (Co-Director)|https://www.nedblock.us/,"Chalmers, D. J. (1996). The Conscious Mind. Oxford University Press|https://consc.net/the-conscious-mind/; Block, N. (1995). On a confusion about a function of consciousness. Behavioral and Brain Sciences|https://philpapers.org/rec/BLOOAC; Chalmers, D. J. (2023). Could a large language model be conscious? Boston Review|https://www.bostonreview.net/articles/could-a-large-language-model-be-conscious/"
Centre for Consciousness (ANU),https://philosophy.cass.anu.edu.au/centres/consciousness,philosophy-of-mind,,included,Chalmers founded this centre; institutional home for philosophy-of-consciousness research with direct relevance to AI consciousness debates.,"Research centre at the Australian National University founded by David Chalmers in 2004, dedicated to philosophy of consciousness and philosophy of mind. Runs active workshops on reflexive and higher-order theories of consciousness. As Chalmers' original institutional home for consciousness research — predating NYU CMBC — the centre retains significance in the field's intellectual geography.",university-centre,research,Australia,2004,https://philosophy.cass.anu.edu.au/centres/consciousness,2026-03-17,,1.0,David Chalmers (Founder)|https://consc.net/,"Chalmers, D. J. (1995). Facing up to the problem of consciousness. Journal of Consciousness Studies|https://consc.net/papers/facing.pdf"
Leverhulme Centre for the Future of Intelligence (LCFI),https://www.lcfi.ac.uk/,philosophy-of-mind,,included,One of the most active academic sites for philosophy of AI consciousness in Europe; Henry Shevlin's work directly addresses non-human consciousness and moral patiency.,"Leverhulme-funded interdisciplinary centre at Cambridge studying the long-term challenges posed by AI, including consciousness, moral patiency, and welfare. Henry Shevlin's work on non-human consciousness and moral patienthood applies directly to AI welfare reasoning. LCFI partners with PRISM on the Cambridge Digital Minds Fellowship and provides the institutional bridge between academic philosophy of mind and applied field-building in digital minds.",university-centre,research,UK,2016,https://www.lcfi.ac.uk/,2026-03-17,,1.0,Stephen Cave (Director)|https://www.lcfi.ac.uk/people/stephen-cave; Henry Shevlin (Research Associate)|https://henryshevlin.com/,"Shevlin, H. (2021). Non-human consciousness and the specificity problem. Mind & Language|https://philpapers.org/rec/SHENCA-2"
Oxford Uehiro Centre for Practical Ethics,https://www.practicalethics.ox.ac.uk/,ethics-law-moral-status,philosophy-of-mind,included,Covers AI and digital ethics including normative questions downstream of consciousness attributions; organises policy-facing outputs.,"Oxford philosophy centre covering AI ethics, neuroethics, and human enhancement. The University of Oxford previously hosted both the Future of Humanity Institute (FHI) and the Global Priorities Institute (GPI) — research centres that served as catalysts for work on AI welfare. Following the closure of both, research into digital minds questions continues primarily within the Faculty of Philosophy, where the Uehiro Centre's researchers examine fundamental questions about moral agency, ethical treatment of AI systems, and the potential risks of digital consciousness. Several former FHI and GPI researchers remain active in the Oxford philosophy community.",university-centre,research,UK,1998,https://www.practicalethics.ox.ac.uk/,2026-03-17,,1.0,Julian Savulescu (former Director)|https://law.unimelb.edu.au/about/staff/julian-savulescu; Andreas Mogensen (Senior Research Fellow)|https://www.andreasmogensen.com/; Bradford Saad (Senior Research Fellow)|https://sites.google.com/a/brown.edu/brad-saad/,"Bradley, B. & Saad, B. (forthcoming). Varieties of moral agency and risks of digital dystopia. American Philosophical Quarterly|https://philarchive.org/rec/BRAVOM-2; Bradley, B. & Saad, B. (forthcoming). AI alignment vs AI ethical treatment: ten challenges. Analytic Philosophy|https://www.globalprioritiesinstitute.org/wp-content/uploads/Bradley-and-Saad-AI-alignment-vs-AI-ethical-treatment_-Ten-challenges.pdf; Bales, A. (2025). Against willing AI servitude. The Philosophical Quarterly|https://www.globalprioritiesinstitute.org/wp-content/uploads/Adam-Bales-Against-Willing-Servitude.pdf"
Global Priorities Institute (GPI),https://www.globalprioritiesinstitute.org/,philosophy-of-mind,,excluded,Closed — confirmed by user (2026-03-17). Produced foundational early research on AI sentience and moral status.,Oxford interdisciplinary research centre on global priorities; formally closed. Key contributions include Patrick Butlin's work on AI consciousness indicators and 2025 publications on societal response to potentially sentient AI.,university-centre,research,UK,2017,https://www.globalprioritiesinstitute.org/,2026-03-17,Excluded: defunct. Historically significant — produced foundational early research including Butlin et al. 2023. User confirmed closure 2026-03-17.,1.0,,
CUNY Graduate Center — Philosophy / Consciousness (Rosenthal),https://www.gc.cuny.edu/philosophy,philosophy-of-mind,consciousness-science,included,David Rosenthal's Higher-Order Thought (HOT) theory has been explicitly applied to AI consciousness assessment; straddles philosophy and consciousness science.,"David Rosenthal's home base at CUNY Graduate Center; the primary institutional site for Higher-Order Thought (HOT) theory of consciousness. HOT proposes that a mental state is conscious when accompanied by a higher-order representation of being in that state — a framework increasingly applied to AI consciousness assessment by Rosenthal, Hakwan Lau, and Richard Brown. HOT is one of the six theories used in Butlin et al. (2023).",university-centre,research,USA,unknown,https://www.gc.cuny.edu/philosophy,2026-03-17,,1.0,David Rosenthal (Distinguished Professor)|https://www.davidrosenthal.org/,"Rosenthal, D. (2005). Consciousness and Mind. Oxford University Press|https://academic.oup.com/book/49740; Lau, H. & Rosenthal, D. (2011). Empirical support for higher-order theories of conscious awareness. Trends in Cognitive Sciences|https://philpapers.org/rec/LAUECF"
Rethink Priorities — AI Cognition Initiative,https://rethinkpriorities.org/research-area/the-welfare-of-digital-minds/,ai-consciousness-welfare,,included,The leading nonprofit research team in the digital minds space; developed the Digital Consciousness Model scoring 200 indicators across 13 theories of consciousness.,"Five-researcher team within Rethink Priorities producing the Digital Consciousness Model (DCM) — the first systematic probabilistic framework for assessing the moral relevance of AI systems. The DCM evaluates systems against 13 theories of consciousness simultaneously, generating probability distributions rather than binary verdicts. The team also partners with Cambridge Digital Minds and PRISM on the Digital Minds Fellowship, providing mentorship for the next generation of researchers entering the field.",nonprofit,research,international,2022,https://rethinkpriorities.org/research-area/the-welfare-of-digital-minds/,2026-03-17,Sub-team of Rethink Priorities; listed separately as their digital minds and animal welfare work operate as distinct programmes.,1.0,Bob Fischer (Research Lead)|https://www.bobfischer.net/; Leonard Dung (Senior Researcher)|https://sites.google.com/view/leonard-dung/home,"Rethink Priorities (2024). Digital Consciousness Model (DCM) — probabilistic framework assessing consciousness across 13 theories; Fischer, B. & Sebo, J. (forthcoming). AI welfare: a framework"
Eleos AI Research,https://eleosai.org/,ai-consciousness-welfare,,included,The closest thing to a standalone AI welfare research institute; conducted formal welfare assessments of Claude 4; partnered with Anthropic on model welfare.,"The primary independent nonprofit dedicated to AI welfare and moral patienthood research, founded by Robert Long. Eleos conducted the first formal external welfare assessment of a deployed AI model (Anthropic's Claude), producing findings that were published in Anthropic's system card. Long led the Butlin et al. (2023) report — the field's empirical anchor paper, which derived indicators from six consciousness theories and applied them to current AI systems. Staff includes Patrick Butlin (co-lead author of the 2023 report) and Rosie Campbell (former OpenAI safety lead).",nonprofit,research,USA,2024,https://eleosai.org/,2026-03-17,Staff includes Robert Long (founder), Rosie Campbell,"Robert Long (Founder, Executive Director)|https://robertlong.online/; Patrick Butlin (Senior Researcher)|https://patrickbutlin.com/; Rosie Campbell (Senior Advisor)|https://www.rosiecampbell.xyz/","Butlin, P., Long, R. et al. (2023). Consciousness in artificial intelligence: insights from the science of consciousness. arXiv|https://arxiv.org/abs/2308.08708; Eleos AI (2025). First formal welfare assessment of Anthropic Claude"
Sentience Institute,https://www.sentienceinstitute.org/,ai-consciousness-welfare,animal-sentience,included,Has explicitly reoriented around digital minds as its core priority (2024); runs AIMS Survey on public moral attitudes toward AI systems.,"Think tank focused on moral circle expansion — the philosophical and empirical question of which entities merit moral consideration. Originally focused on animal advocacy, Sentience Institute now prioritises digital minds. Its AIMS Survey is the most sustained longitudinal study of public moral and social perceptions of AI systems, tracking how attitudes toward AI moral status evolve over time. Cross-listed with animal sentience, reflecting its dual commitment.",nonprofit,research,USA,2016,https://www.sentienceinstitute.org/,2026-03-17,Dual-zone: primary focus has shifted to AI but retains animal sentience research strand.,1.0,"Jacy Reese Anthis (Co-Founder, Research Director)|https://jacyanthis.com/","Anthis, J. R. & Ladak, A. (2024). The AIMS Survey: longitudinal tracking of public moral perceptions of AI|https://arxiv.org/abs/2407.08867"
NYU Center for Mind Ethics and Policy (CMEP),https://sites.google.com/nyu.edu/mindethicspolicy/,ai-consciousness-welfare,policy-governance,included,Directed by Jeff Sebo; explicitly covers AI and animal consciousness with equal institutional commitment; co-authored key 2025 bridge paper on AI and animal sentience.,"University centre founded 2024 directed by Jeff Sebo, situated within NYU's broader cluster of moral-circle-expansion work alongside the Center for Mind Brain and Consciousness (Chalmers, Block), the Wild Animal Welfare Program, and the Center for Environmental and Animal Protection. CMEP conducts research across consciousness, sentience, and moral status for both nonhuman animals and AI systems. Hosted the 2025 MEP Summit on AI consciousness. Sebo's positioning at the intersection of animal ethics and AI welfare makes CMEP the most developed institutional bridge between Zones 2, 3, and 4.",university-centre,research,USA,2024,https://sites.google.com/nyu.edu/mindethicspolicy/,2026-03-17,Dual-zone: equally committed to animal and AI consciousness. Also has policy/governance outputs.,1.0,Jeff Sebo (Director)|https://jeffsebo.net/,"Sebo, J. (2022). The moral circle: should it expand to include artificial intelligence? AI & Ethics|https://jeffsebo.net/wp-content/uploads/2022/09/jeff-sebo-moral-circle-explosion.pdf; Long, R. & Sebo, J. (2025). AI welfare and the moral circle. In preparation"
PRISM — Partnership for Research Into Sentient Machines,https://www.prism-global.com/,ai-consciousness-welfare,,included,The organisation producing this field map; included for completeness. Runs Digital Minds Newsletter and podcast; co-delivering Cambridge Digital Minds Fellowship.,"UK nonprofit launched March 2025 dedicated to building research infrastructure for the digital minds field. PRISM produces this organisational directory, co-hosts the Cambridge Digital Minds Fellowship with Rethink Priorities and LCFI, runs the Exploring Machine Consciousness podcast, and builds academic-industry-government coalitions. PRISM is itself included in this directory; the self-inclusion is disclosed here and in the methodology.",nonprofit,community-onboarding,UK,2025,https://www.prism-global.com/,2026-03-17,Note: PRISM is the organisation producing this map. Included for completeness and transparency; self-inclusion disclosed in methodology.,1.0,"Will Millership (Founder, Executive Director)|https://www.prism-global.com/will-millership",PRISM (2026). Digital Minds: A Field Map (this directory); PRISM (2025–). Exploring Machine Consciousness podcast
California Institute for Machine Consciousness (CIMC),https://cimc.ai/,ai-consciousness-welfare,,included,Formulating testable theories of machine consciousness; co-organised Machine Consciousness workshop at AGI-25. Early-stage but institutionally distinct.,"Nonprofit research institute launched 2025 focused on formulating testable theories of machine consciousness. Co-organised the Machine Consciousness workshop at AGI-25. Joscha Bach's computational account — which treats consciousness as a specific kind of self-modelling process — offers a distinct theoretical entry point from the neuroscience-derived frameworks that dominate the field. Early-stage but institutionally distinct; limited published output to date.",nonprofit,research,USA,2025,https://cimc.ai/,2026-03-17,Very new; flag as early-stage. Output so far: whitepaper and workshop.,1.0,Joscha Bach (Research Director)|http://bach.ai/; Jim Rutt (Board Chair)|https://www.jimruttshow.com/,CIMC (2025). Toward testable theories of machine consciousness (whitepaper)
Cambridge Digital Minds,https://digitalminds.cam/,ai-consciousness-welfare,policy-governance,included,Running the Digital Minds Fellowship — a 7-day residential intensive on AI consciousness and welfare. Primary field-building and training function rather than research production.,"A programme housed within Cambridge's Leverhulme Centre for the Future of Intelligence, running the Digital Minds Fellowship — a fully funded residential research programme on AI consciousness and welfare. The fellowship is a three-way partnership between LCFI, Rethink Priorities, and PRISM, providing structured mentorship for early-career researchers entering the field. PI'd by Lucius Caviola with institutional support from Henry Shevlin on the LCFI side.",university-centre,training-education,UK,2024,https://digitalminds.cam/,2026-03-17,Partnership with Rethink Priorities and PRISM. Primary function is training/field-building rather than primary research production.,1.0,Lucius Caviola (PI)|https://luciuscaviola.com/; Henry Shevlin (LCFI Co-lead)|https://henryshevlin.com/,"Cambridge Digital Minds Fellowship (residential research programme, annual)"
Association for Mathematical Consciousness Science (AMCS),https://amcs-community.org/,ai-consciousness-welfare,consciousness-science,included,International scholarly association advancing mathematical and computational approaches to consciousness including artificial consciousness; hosts Models of Consciousness conference series.,"International association of 150+ researchers advancing mathematical and computational approaches to consciousness science. Organises the Models of Consciousness (MoC) conference series — MoC5 (Bamberg, 2024) and MoC6 (Sapporo, 2025) — which provides the primary international forum for formal and mathematical approaches to consciousness with a growing AI orientation. Johannes Kleiner's work on the mathematical structure of consciousness theories is directly relevant to formalising AI consciousness assessment.",community,research,international,2020,https://amcs-community.org/,2026-03-17,Borderline Zone 1 / Zone 3 — AI consciousness is significant but not its exclusive domain. Primary zone assigned based on AI relevance of its activities.,1.0,Johannes Kleiner (Co-Founder)|https://jkleiner.de/; Tim Bayne (Co-Founder)|https://research.monash.edu/en/persons/timothy-bayne/,"Kleiner, J. & Hoel, E. (2021). Falsification and consciousness. Neuroscience of Consciousness|https://academic.oup.com/nc/article/2021/1/niab001/6232324"
Future Impact Group — AI Sentience Track,https://futureimpact.group/ai-sentience,,,included,Fellowship programme with a dedicated AI sentience track; reclassified to community/onboarding consistent with PIVOTAL/SPAR/MATS.,"International 12-week fellowship programme with a dedicated AI sentience track covering foundational consciousness research, welfare evaluation, governance, and legal personhood. Alumni have gone on to roles at OpenAI, UK DSIT, the UN, and GovAI — the programme serves as both a training pipeline and a bridge between digital minds and adjacent policy communities, feeding researchers into institutions across the map.",nonprofit,community-onboarding,international,unknown,https://futureimpact.group/ai-sentience,2026-03-17,Reclassified from Zone 3 to community/onboarding 2026-03-17 — consistent with PIVOTAL/SPAR/MATS. Fellowship programme rather than primary research producer.,1.0,,
Rethink Priorities — Animal Welfare Department,https://rethinkpriorities.org/our-research-areas/animal-welfare/,animal-sentience,,included,Invertebrate sentience methodology directly parallels their AI consciousness work; the two programmes inform each other within the same organisation.,"Conducts empirical research on invertebrate sentience (53-feature framework across 18 taxa), wild animal welfare, and welfare ranges. The methodological approach — systematically evaluating organisms against multiple indicators of sentience under uncertainty — directly informed the Digital Consciousness Model developed by the sibling AI Cognition Initiative at Rethink Priorities. The intellectual lineage from animal sentience assessment to AI consciousness assessment runs through this team.",nonprofit,research,international,unknown,https://rethinkpriorities.org/our-research-areas/animal-welfare/,2026-03-17,Sub-team of Rethink Priorities; listed separately as their animal welfare and digital minds work operate as distinct programmes.,1.0,Bob Fischer (Research Lead)|https://www.bobfischer.net/,"Fischer, B. et al. (2023). 53-feature sentience framework across 18 taxa"
