org_name,slug,domain,method,status,path
Association for the Scientific Study of Consciousness (ASSC),association-for-the-scientific-study-of-consciousness-assc,theassc.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/association-for-the-scientific-study-of-consciousness-assc.png
Graziano Lab (Princeton University),graziano-lab-princeton-university,grazianolab.com,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/graziano-lab-princeton-university.png
MIND Group / Open MIND Network,mind-group-open-mind-network,open-mind.net,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/mind-group-open-mind-network.png
NYU Center for Mind Brain and Consciousness,nyu-center-for-mind-brain-and-consciousness,wp.nyu.edu,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/nyu-center-for-mind-brain-and-consciousness.png
Centre for Consciousness (ANU),centre-for-consciousness-anu,philosophy.cass.anu.edu.au,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/centre-for-consciousness-anu.png
Leverhulme Centre for the Future of Intelligence (LCFI),leverhulme-centre-for-the-future-of-intelligence-lcfi,lcfi.ac.uk,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/leverhulme-centre-for-the-future-of-intelligence-lcfi.png
Oxford Uehiro Centre for Practical Ethics,oxford-uehiro-centre-for-practical-ethics,practicalethics.ox.ac.uk,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/oxford-uehiro-centre-for-practical-ethics.png
CUNY Graduate Center — Philosophy / Consciousness (Rosenthal),cuny-graduate-center-philosophy-consciousness-rosenthal,gc.cuny.edu,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/cuny-graduate-center-philosophy-consciousness-rosenthal.png
Rethink Priorities — Welfare of Digital Minds,rethink-priorities-welfare-of-digital-minds,rethinkpriorities.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/rethink-priorities-welfare-of-digital-minds.png
Eleos AI Research,eleos-ai-research,eleosai.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/eleos-ai-research.png
Sentience Institute,sentience-institute,sentienceinstitute.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/sentience-institute.png
NYU Center for Mind Ethics and Policy (CMEP),nyu-center-for-mind-ethics-and-policy-cmep,sites.google.com,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/nyu-center-for-mind-ethics-and-policy-cmep.png
PRISM — Partnership for Research Into Sentient Machines,prism-partnership-for-research-into-sentient-machines,prism-global.com,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/prism-partnership-for-research-into-sentient-machines.png
California Institute for Machine Consciousness (CIMC),california-institute-for-machine-consciousness-cimc,cimc.ai,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/california-institute-for-machine-consciousness-cimc.png
Cambridge Digital Minds,cambridge-digital-minds,digitalminds.cam,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/cambridge-digital-minds.png
Association for Mathematical Consciousness Science (AMCS),association-for-mathematical-consciousness-science-amcs,amcs-community.org,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/association-for-mathematical-consciousness-science-amcs.png
Future Impact Group — AI Sentience Track,future-impact-group-ai-sentience-track,futureimpact.group,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/future-impact-group-ai-sentience-track.png
Rethink Priorities — Animal Welfare Department,rethink-priorities-animal-welfare-department,rethinkpriorities.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/rethink-priorities-animal-welfare-department.png
Wild Animal Initiative (WAI),wild-animal-initiative-wai,wildanimalinitiative.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/wild-animal-initiative-wai.png
Jeremy Coller Centre for Animal Sentience (LSE),jeremy-coller-centre-for-animal-sentience-lse,lse.ac.uk,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/jeremy-coller-centre-for-animal-sentience-lse.png
Sentient Futures (formerly AI for Animals),sentient-futures-formerly-ai-for-animals,sentientfutures.ai,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/sentient-futures-formerly-ai-for-animals.png
Fish Welfare Initiative,fish-welfare-initiative,fishwelfareinitiative.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/fish-welfare-initiative.png
Anthropic — Model Welfare Program,anthropic-model-welfare-program,anthropic.com,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/anthropic-model-welfare-program.png
Google DeepMind,google-deepmind,deepmind.google,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/google-deepmind.png
The Harder Problem Project (formerly SAPAN),the-harder-problem-project-formerly-sapan,harderproblem.org,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/the-harder-problem-project-formerly-sapan.png
Institute for Law and AI,institute-for-law-and-ai,law-ai.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/institute-for-law-and-ai.png
AI Rights Institute,ai-rights-institute,airights.net,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/ai-rights-institute.png
United Foundation for AI Rights (UFAIR),united-foundation-for-ai-rights-ufair,ufair.org,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/united-foundation-for-ai-rights-ufair.png
Coefficient Giving (formerly Open Philanthropy),coefficient-giving-formerly-open-philanthropy,coefficientgiving.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/coefficient-giving-formerly-open-philanthropy.png
Longview Philanthropy — Digital Sentience Fund,longview-philanthropy-digital-sentience-fund,longview.org,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/longview-philanthropy-digital-sentience-fund.png
Macroscopic Ventures,macroscopic-ventures,macroscopic.org,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/macroscopic-ventures.png
Templeton Foundations (JTF / TWCF),templeton-foundations-jtf-twcf,templeton.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/templeton-foundations-jtf-twcf.png
EA Funds (Long-Term Future Fund / Animal Welfare Fund),ea-funds-long-term-future-fund-animal-welfare-fund,funds.effectivealtruism.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/ea-funds-long-term-future-fund-animal-welfare-fund.png
Astera Institute — Neuro and AGI Division,astera-institute-neuro-and-agi-division,astera.org,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/astera-institute-neuro-and-agi-division.png
EA Forum — Digital Minds Community,ea-forum-digital-minds-community,forum.effectivealtruism.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/ea-forum-digital-minds-community.png
Navigation Fund,navigation-fund,navigationfund.org,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/navigation-fund.png
NYU Wild Animal Welfare Program,nyu-wild-animal-welfare-program,sites.google.com,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/nyu-wild-animal-welfare-program.png
Conscium,conscium,conscium.com,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/conscium.png
Reciprocal Research,reciprocal-research,reciprocalresearch.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/reciprocal-research.png
AE Studio — AI Alignment and Consciousness,ae-studio-ai-alignment-and-consciousness,ae.studio,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/ae-studio-ai-alignment-and-consciousness.png
COGITATE Consortium,cogitate-consortium,arc-cogitate.com,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/cogitate-consortium.png
Max Planck Institute for Empirical Aesthetics,max-planck-institute-for-empirical-aesthetics,aesthetics.mpg.de,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/max-planck-institute-for-empirical-aesthetics.png
CIFAR Brain Mind and Consciousness Program,cifar-brain-mind-and-consciousness-program,cifar.ca,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/cifar-brain-mind-and-consciousness-program.png
Neuromatch — AI Sentience Scholars,neuromatch-ai-sentience-scholars,neuromatch.io,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/neuromatch-ai-sentience-scholars.png
PIVOTAL Research,pivotal-research,pivotal-research.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/pivotal-research.png
SPAR (Student Program for AI Risks),spar-student-program-for-ai-risks,sparai.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/spar-student-program-for-ai-risks.png
MATS (ML Alignment Theory Scholars),mats-ml-alignment-theory-scholars,matsprogram.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/mats-ml-alignment-theory-scholars.png
Centre for the Study of Perceptual Experience (CSPE),centre-for-the-study-of-perceptual-experience-cspe,gla.ac.uk,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/centre-for-the-study-of-perceptual-experience-cspe.png
Institute for Ethics in AI (Oxford),institute-for-ethics-in-ai-oxford,oxford-aiethics.ox.ac.uk,none,manual_needed,
PAIR — Centre for Philosophy and AI Research (FAU Erlangen),pair-centre-for-philosophy-and-ai-research-fau-erlangen,pair.fau.eu,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/pair-centre-for-philosophy-and-ai-research-fau-erlangen.png
BAMΞ — Bamberg Mathematical Consciousness Science Initiative,bamξ-bamberg-mathematical-consciousness-science-initiative,uni-bamberg.de,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/bamξ-bamberg-mathematical-consciousness-science-initiative.png
CRCN / CO3 — Consciousness Cognition and Computation Group (ULB),crcn-co3-consciousness-cognition-and-computation-group-ulb,crcn.ulb.ac.be,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/crcn-co3-consciousness-cognition-and-computation-group-ulb.png
CHAIN — Center for Human Nature AI and Neuroscience (Hokkaido),chain-center-for-human-nature-ai-and-neuroscience-hokkaido,chain.hokudai.ac.jp,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/chain-center-for-human-nature-ai-and-neuroscience-hokkaido.png
Araya Inc — AI Consciousness Research,araya-inc-ai-consciousness-research,research.araya.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/araya-inc-ai-consciousness-research.png
ShanghaiTech University — Institute of Humanities (Consciousness Research),shanghaitech-university-institute-of-humanities-consciousness-research,ih.shanghaitech.edu.cn,none,manual_needed,
Center on Long-Term Risk (CLR),center-on-long-term-risk-clr,longtermrisk.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/center-on-long-term-risk-clr.png
NYU Center for Environmental and Animal Protection,nyu-center-for-environmental-and-animal-protection,enviroanimal.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/nyu-center-for-environmental-and-animal-protection.png
Insect Welfare Research Society,insect-welfare-research-society,insectwelfare.com,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/insect-welfare-research-society.png
Journal of Artificial Intelligence and Consciousness (JAIC),journal-of-artificial-intelligence-and-consciousness-jaic,worldscientific.com,none,manual_needed,
Neuroscience of Consciousness (journal),neuroscience-of-consciousness-journal,academic.oup.com,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/neuroscience-of-consciousness-journal.png
Philosophy and the Mind Sciences (PhiMiSci),philosophy-and-the-mind-sciences-phimisci,philosophymindscience.org,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/philosophy-and-the-mind-sciences-phimisci.png
Journal of Consciousness Studies,journal-of-consciousness-studies,imprint.co.uk,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/journal-of-consciousness-studies.png
RIKEN Center for Brain Science (CBS),riken-center-for-brain-science-cbs,riken.jp,none,manual_needed,
Digital Minds Newsletter,digital-minds-newsletter,digitalminds.news,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/digital-minds-newsletter.png
Noema Magazine,noema-magazine,noemamag.com,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/noema-magazine.png
Aeon,aeon,aeon.co,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/aeon.png
Center for the Future of AI Mind and Society (FAU),center-for-the-future-of-ai-mind-and-society-fau,fau.edu,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/center-for-the-future-of-ai-mind-and-society-fau.png
Google Research — Paradigms of Intelligence,google-research-paradigms-of-intelligence,github.com,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/google-research-paradigms-of-intelligence.png
Co-Sentience Initiative (CoSI),co-sentience-initiative-cosi,cf-debate.com,favicon,ok,/Users/mitchel/digital-minds-map/outputs/logos/co-sentience-initiative-cosi.png
Berggruen Institute,berggruen-institute,berggruen.org,og_image,ok,/Users/mitchel/digital-minds-map/outputs/logos/berggruen-institute.png
